Object ID,Department,Object Name,Title,Culture,Artist Nationality,Object Begin Date,Object End Date,Medium,Credit Line,Country
316760,"Arts of Africa, Oceania, and the Americas",Painting,Painting,Abelam people,,1970-01-01 00:00:00.000001900,1970-01-01 00:00:00.000002000,"Paper, paint","Gift of Lita Osmundsen, 1992",Papua New Guinea
316760,"Arts of Africa, Oceania, and the Americas",Painting,Painting,Abelam people,,1970-01-01 00:00:00.000001900,1970-01-01 00:00:00.000002000,"Paper, paint","Gift of Lita Osmundsen, 1992",Papua New Guinea
317005,,Cloth,Carrying Cloth,Quechua,,1970-01-01 00:00:00.000001900,1970-01-01 00:00:00.000002000,Camelid hair,"Bequest of Arthur M. Bullowa, 1993",Peru
317135,"Arts of Africa, Oceania, and the Americas",Ritual stone,Stone Pulidor,Mexican,,1970-01-01 00:00:00.000001200,1970-01-01 00:00:00.000001600,Stone,"Bequest of Arthur M. Bullowa, 1993",Mexico
319532,"Arts of Africa, Oceania, and the Americas",Costume element,Ceremonial Costume Element,Timor,,1970-01-01 00:00:00.000001850,1970-01-01 00:00:00.000001950,"Cotton, glass beads","Bequest of John B. Elliott, 1997",Indonesia
323644,Ancient Near Eastern Art,Sherd,Sherd,Iran,,1969-12-31 23:59:59.999996495,1969-12-31 23:59:59.999996900,"Ceramic, paint","Rogers Fund, 1938",
325714,Ancient Near Eastern Art,Sculpture,Bird standard,,,1969-12-31 23:59:59.999997500,1969-12-31 23:59:59.999997500,Copper alloy,"Purchase, Schimmel Foundation Inc. Gift, 1965",
327150,Ancient Near Eastern Art,Bead,Bead,,,1969-12-31 23:59:59.999993000,1969-12-31 23:59:59.999995000,Calcite,"Gift of Sheldon and Barbara Breitbart, 1985",
339097,Drawings and Prints,Print; Poster,New York Ledger: Bicycle Number,,American,1970-01-01 00:00:00.000001895,1970-01-01 00:00:00.000001895,Lithograph,"Gift of Bessie Potter Vonnoh, 1941",
339407,Drawings and Prints,Drawing,Figure Studies,,Italian,1970-01-01 00:00:00.000001696,1970-01-01 00:00:00.000001770,"Pen and brown ink, over black chalk, on beige paper","Rogers Fund, 1964",
341146,Drawings and Prints,Print,Reciprocated Love,,Italian,1970-01-01 00:00:00.000001584,1970-01-01 00:00:00.000001600,Engraving,"Harris Brisbane Dick Fund, 1927",
341485,Drawings and Prints,Print,"Rest on the flight into Egypt, Mary holding and looking at the infant Christ while St. Joseph reads",,Italian,1970-01-01 00:00:00.000001632,1970-01-01 00:00:00.000001642,Etching,"Harris Brisbane Dick Fund, 1926",
345964,Drawings and Prints,Book,Meubles Modernes,,French|French|French|French|French|French,1970-01-01 00:00:00.000001875,1970-01-01 00:00:00.000001890,Chromolithography,"A. Hyatt Mayor Purchase Fund, Marjorie Phelps Starr Bequest, 1987",
346186,Drawings and Prints,Book,Blossoms of Childhood,,American|American|American,1970-01-01 00:00:00.000001840,1970-01-01 00:00:00.000001840,Illustrations: wood engraving,"Anonymous Gift, 1941",
347789,Drawings and Prints,Book,"The Comical History of Lord Flutter, Lord Spindle and Sir Harry Hopscotch; or, the Bee, the Wasp, and the Ant",,British,1970-01-01 00:00:00.000001800,1970-01-01 00:00:00.000001900,"Wood engraving, hand colored","Gift of Lincoln Kirstein, 1964",
350011,Drawings and Prints,Book,"Seamless Plain Solid Gold Rings, Engraved Rings, Diamond Rings, Mountings, Ladies' Stone Rings, Chains, Diamond Cutters",,American,1970-01-01 00:00:00.000001902,1970-01-01 00:00:00.000001902,Illustrations: photomechanical process,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1960",
350542,Drawings and Prints,Book,"Performing Tea Ceremony, The Miyako Odori for 1935, and eight stage sets",,Japanese,1970-01-01 00:00:00.000001930,1970-01-01 00:00:00.000001940,Illustrations: photographic method and color prints,"Gift of Lincoln Kirstein, 1986",
353752,Drawings and Prints,Book,Plates in Missel de Notre-Dame de France,,French|French?|French,1970-01-01 00:00:00.000001899,1970-01-01 00:00:00.000001899,,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1963",
355115,Drawings and Prints,Book,"Exposition Lorraine. L'École de Nancy au Musée de l'Union Centrale des Arts Décoratifs. Pavillon de Marsan, A Paris. Ier Série: Le Moblier",,French|French,1970-01-01 00:00:00.000001900,1970-01-01 00:00:00.000001910,Heliotype print,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1962",
357808,Drawings and Prints,Book,Enoch Arden,,British|British|British|British|British|British|British,1970-01-01 00:00:00.000001866,1970-01-01 00:00:00.000001866,Illustrations: wood engraving,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1966",
360463,Drawings and Prints,Drawing,"St. Peter's, exterior, tabernacle, elevation and section at base with details of pedestal and railing, (recto)St. Peter's, exterior, tabernacle, elevation and section at arched opening (verso)",,French,1970-01-01 00:00:00.000001500,1970-01-01 00:00:00.000001560,"Dark brown ink, black chalk, and incised lines","Gift of Janos Scholz and Anne Bigelow Scholz, in memory of Flying Officer Walter Bigelow Rosen, RCAF, 1949",
363070,Drawings and Prints,Print,"View of the Basilica of San Sebastiano fuori delle mura [St. Sebastian outside the Walls] on the Appian Way, from Vedute di Roma (Roman Views)",,Italian,1970-01-01 00:00:00.000001745,1970-01-01 00:00:00.000001755,Etching; first state of four (Hind),"Gift of Mrs. David Keppel, 1960",
363754,Drawings and Prints,Drawing,Design for Pointed Utensil with an Egyptian Style Figure on the Handle,,Italian,1970-01-01 00:00:00.000001548,1970-01-01 00:00:00.000001612,"Pen and brown ink, brush and brown wash, over black chalk.","Mrs. Regina Slatkin, 1963",
365646,Drawings and Prints,Drawing,Saint Paul,,Italian,1970-01-01 00:00:00.000001591,1970-01-01 00:00:00.000001666,"Pen and brown ink, brush and brown ink, over lead point or graphite.","Gift of Cornelius Vanderbilt, 1880",
367617,Drawings and Prints,Drawing Ornament & Architecture,Francis W. Little House: Furniture Plan,,American,1970-01-01 00:00:00.000001908,1970-01-01 00:00:00.000001914,Graphite and orange and brown pencil,"Purchase, Emily Crane Chadborne Bequest, 1972",
371229,Drawings and Prints,Print,"Theodoric IV from the series Counts and Countesses of Holland, Zeeland, and West-Frisia",,Dutch|Dutch|Dutch,1970-01-01 00:00:00.000001650,1970-01-01 00:00:00.000001650,Engraving and etching; second state of three,"Gift of Mrs. Hugo Elliot, 1941",
377953,Drawings and Prints,Book,L'Art de bâtir des maisons de Campagne,,French|French|French|French|French,1970-01-01 00:00:00.000001743,1970-01-01 00:00:00.000001743,Printed book with engraved illustrations,"Rogers Fund, 1952",
378914,Drawings and Prints,Drawing,"Design for Pony Phaeton, no. 3162",,American,1970-01-01 00:00:00.000001875,1970-01-01 00:00:00.000001875,"Pen and black ink, watercolor and gouache","Gift of William Brewster, 1923",
386510,Drawings and Prints,Drawing ; Ornament and architecture,"Ceiling Design, Half of a Circle",,British,1970-01-01 00:00:00.000001800,1970-01-01 00:00:00.000001899,Watercolor with gold,"Gift of the Royal Institute of British Architects, 1961",
391909,Drawings and Prints,Print,Canal with an Angler and Two Swans,,Dutch,1970-01-01 00:00:00.000001643,1970-01-01 00:00:00.000001653,Etching and drypoint; second of two states,"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",
396269,Drawings and Prints,Print,GERYON,,American,1970-01-01 00:00:00.000001957,1970-01-01 00:00:00.000001957,"Etching, aquatint and drypoint; states 1-8","John B. Turner Fund, 2011",
397577,Drawings and Prints,Print,"Syzygy or the Conjunction of the Macrocosmic Unity with the Microcosmic Triunity from Heinrich Khunrath, Amphiteatrum sapientiae aeternae",,Netherlandish|German,1970-01-01 00:00:00.000001535,1970-01-01 00:00:00.000001611,Engraving from a circular plate,"Purchase, C. G. Boerner Gift, 2011",
399078,Drawings and Prints,Print,Horse Group #17,,American,1970-01-01 00:00:00.000001935,1970-01-01 00:00:00.000001943,Lithograph,"Gift of the Work Projects Administration, Allocation Unit, Chicago, 1943",
399085,Drawings and Prints,Print,Whither Mankind,,American,1970-01-01 00:00:00.000001935,1970-01-01 00:00:00.000001943,Silkscreen,"Gift of the Work Projects Administration, Allocation Unit, Chicago, 1943",
399877,Drawings and Prints,Print,"The dream of St Joseph, who is sleeping at the right, the Virgin and Child by a cross surrounded by angels and many putti and with God the Father above",,Italian|Italian,1970-01-01 00:00:00.000001600,1970-01-01 00:00:00.000001650,Etching,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1951",
400013,Drawings and Prints,Baseball card,"Sullivan, Left Field, Chicago, from the Gold Coin series (N284) for Gold Coin Chewing Tobacco",,,1970-01-01 00:00:00.000001887,1970-01-01 00:00:00.000001887,Commercial color lithography reproducing drawings,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",
400018,Drawings and Prints,Print,Section and elevation of the Colosseum in Rome,,Italian|Italian,1970-01-01 00:00:00.000001581,1970-01-01 00:00:00.000001581,Etching,"Bequest of Phyllis Massar, 2011",
404850,Drawings and Prints,Print,"Chairing the Members, Plate IV: Four Prints of an Election",,French|British,1970-01-01 00:00:00.000001758,1970-01-01 00:00:00.000001758,Etching and engraving; third state of three,"Gift of Sarah Lazarus, 1891",
410156,Drawings and Prints,Print,"George Bubear, Oarsman, from World's Champions, Series 1 (N28) for Allen & Ginter Cigarettes",,American|American,1970-01-01 00:00:00.000001887,1970-01-01 00:00:00.000001887,Commercial color lithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",
410683,Drawings and Prints,Baseball card,"Louis Chiozza; verso: Diamond Stars, No. 80 (1934 Averages)",,,1970-01-01 00:00:00.000001935,1970-01-01 00:00:00.000001935,Commercial color lithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",
415848,Drawings and Prints,Print,"Prise de la Ville de Bone (Capture of the City of Bonne), from La Vie de Ferdinand Ier de Médicis série appelée aussi Les Batailles des Médicis (The Life of Ferdinand I de'Medici also called The Medici Battles)",,French|Italian,1970-01-01 00:00:00.000001614,1970-01-01 00:00:00.000001620,Engraving; first state of two (Lieure),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1951",
417951,Drawings and Prints,Print,The Impossibility,,German,1970-01-01 00:00:00.000001548,1970-01-01 00:00:00.000001548,Engraving,"Gift of Harry G. Friedman, 1959",
419823,Drawings and Prints,Print,"S. Antioche, médecin (St. Antiochus, Doctor), July 15th, from Les Images De Tous Les Saincts et Saintes de L'Année (Images of All of the Saints and Religious Events of the Year)",,French|French,1970-01-01 00:00:00.000001636,1970-01-01 00:00:00.000001636,Etching; second state of two (Lieure),"Purchase, Joseph Pulitzer Bequest, 1917",
428594,Drawings and Prints,Print,Sea-Bass Fisherman,,American,1970-01-01 00:00:00.000001900,1970-01-01 00:00:00.000001931,Etching,"Robert B. Dodson Fund, 1931",
428786,Drawings and Prints,Print,Reverse Copy of Madame Bouthillier (Marie de Bragelogne),,French,1970-01-01 00:00:00.000001810,1970-01-01 00:00:00.000001820,Engraving,"Gift of Georgiana W. Sargent, in memory of John Osborne Sargent, 1924",
430474,Drawings and Prints,Print,"Reconnoitering, from the Boy Scouts series (E42) for the Fisher Candy Co.",,American,1970-01-01 00:00:00.000001910,1970-01-01 00:00:00.000001910,Commercial color lithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",
431102,Drawings and Prints,Print,Vues de St. Petersbourg,,French,1970-01-01 00:00:00.000001840,1970-01-01 00:00:00.000001840,"Lithography, hand-colored","Gift of Robert D. Brewster, 1951",
433636,Drawings and Prints,"Baseball card, print","Fitzgerald, Sacramento, Pacific Coast League, from the ""Obak Baseball Players"" set (T212), issued by the American Tobacco Company to promote Obak Mouthpiece Cigarettes",,,1970-01-01 00:00:00.000001910,1970-01-01 00:00:00.000001910,Commercial color lithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",
